"ENRIQ_10_S11_L001"	"ENRIQ_11_S12_L001"	"ENRIQ_12_S13_L001"	"ENRIQ_13_S14_L001"	"ENRIQ_14_S15_L001"	"ENRIQ_15_S16_L001"	"ENRIQ_16_S17_L001"	"ENRIQ_17_S18_L001"	"ENRIQ_18_S19_L001"	"ENRIQ_19_S20_L001"	"ENRIQ_1_S2_L001"	"ENRIQ_20_S21_L001"	"ENRIQ_21_S22_L001"	"ENRIQ_22_S23_L001"	"ENRIQ_23_S24_L001"	"ENRIQ_24_S25_L001"	"ENRIQ_25_S26_L001"	"ENRIQ_26_S27_L001"	"ENRIQ_27_S28_L001"	"ENRIQ_28_S29_L001"	"ENRIQ_29_S30_L001"	"ENRIQ_2_S3_L001"	"ENRIQ_30_S31_L001"	"ENRIQ_31_S32_L001"	"ENRIQ_32_S33_L001"	"ENRIQ_33_S34_L001"	"ENRIQ_34_S35_L001"	"ENRIQ_35_S36_L001"	"ENRIQ_36_S37_L001"	"ENRIQ_3_S4_L001"	"ENRIQ_4_S5_L001"	"ENRIQ_5_S6_L001"	"ENRIQ_6_S7_L001"	"ENRIQ_7_S8_L001"	"ENRIQ_8_S9_L001"	"ENRIQ_9_S10_L001"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.6549	0.67518	0.55517	0.37216	0.31042	0.29963	0.37081	0.30452	0.39297	0.34155	0.67785	0.30675	0.25577	0.28581	0.24458	0.31091	0.27815	0.01609	0.27734	0.34604	0.33614	0.55025	0.33803	0.19241	0.32038	0.23618	0.31823	0.2752	0.26594	0.75351	0.61068	0.63687	0.71148	0.72141	0.64041	0.62656
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.44328	0.39264	0.34667	0.21271	0.17539	0.23279	0.15933	0.20897	0.18182	0.16762	0.32405	0.30944	0.18855	0.14988	0.13754	0.10221	0.21065	0	0.23125	0.23753	0.13804	0.30801	0.17949	0.0562	0.28388	0.17298	0.20384	0.15298	0.17264	0.40298	0.35461	0.35558	0.53794	0.32126	0.31775	0.37749
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0.31624	0.24349	0.27016	0.31829	0.13401	0.22641	0.20323	0.18598	0.3032	0.21748	0.214	0.31508	0.19364	0.25357	0.13699	0.11958	0.31944	0	0.33613	0.22611	0.20556	0.14683	0.14194	0.10259	0.24542	0.25236	0.27193	0.18193	0.27195	0.14797	0.10528	0.10795	0.26869	0.06542	0.20221	0.26351
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales"	0.21638	0.13631	0.14248	0.19891	0.27441	0.20888	0.16254	0.21477	0.22619	0.18778	0.14564	0.24033	0.22126	0.24553	0.16356	0.12813	0.26039	0.08589	0.30783	0.2224	0.30454	0.08315	0.22816	0.23115	0.25628	0.17336	0.26713	0.28031	0.23525	0.14251	0.10147	0.06148	0.15323	0.12686	0.05303	0.15187
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales"	0.12852	0.04648	0.07778	0.03263	0	0.07076	0.01018	0	0.01774	0.00613	0.043	0.02966	0	0	0	0.00761	0	0	0.00987	0	0	0	0	0	0	0	0.00391	0	0.01104	0.01167	0	0	0	0	0	0.12079
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.10417	0.12826	0.10826	0.3254	0.39648	0.61299	0.45505	0.66592	0.54161	0.39966	0	0.19804	0.25452	0.31313	0.22688	0.16218	0.06616	0	0.10536	0.19973	0.47822	0	0.07337	0	0.01811	0	0.02632	0.02057	0.08351	0	0.13156	0.0578	0.03082	0	0	0
"k__Bacteria|p__Firmicutes|c__CFGB1340|o__OFGB1340"	0.03499	0.03867	0.04294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01805	0.03367	0	0	0.06265
"k__Bacteria|p__Firmicutes|c__CFGB42691|o__OFGB42691"	0.02661	0.0018	0.05128	0.0114	0	0	0	0	0.02242	0	0	0	0	0	0	0.00153	0	0	0	0	0	0	0	0	0	0	0	0	0.00637	0	0	0	0	0	0	0.02664
"k__Bacteria|p__Firmicutes|c__CFGB1217|o__OFGB1217"	0.02503	0	0.01454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00632	0	0	0	0	0	0	0.01946
"k__Archaea|p__Euryarchaeota|c__CFGB343|o__OFGB343"	0.01986	0	0.04116	0	0	0	0.0129	0	0.02924	0	0	0.02953	0	0	0	0	0.01058	0	0.00545	0.05626	0.01666	0	0	0	0.04855	0.03301	0.06237	0.04485	0.03271	0.01275	0.01314	0	0.01681	0	0	0.0489
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified"	0.007	0	0.00093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01475
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae"	32.13595	33.24567	32.36031	19.95158	18.8087	18.65633	19.84135	19.05107	19.21262	18.83307	33.55836	19.08533	17.64403	19.11244	18.96947	17.42162	17.96742	16.1455	17.88019	16.39628	18.47365	32.89798	17.43416	17.81601	18.97454	17.61105	18.80761	18.42737	18.33196	31.26404	33.39068	33.07362	32.40085	33.81188	33.57765	32.54342
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae"	19.50841	20.79484	20.98002	8.78979	7.41949	7.6497	8.4064	8.74207	8.9332	8.44725	20.27363	9.38498	8.48027	7.85476	7.88595	8.48287	12.4865	11.96498	12.84382	11.42628	11.94628	20.87236	11.75218	12.29309	11.78561	11.85684	12.45635	12.13832	12.28095	20.21239	20.16055	21.49921	20.05168	20.66159	20.95747	20.82036
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	10.79556	10.57242	9.76338	11.37759	9.29627	8.69977	8.9809	10.12435	7.68701	7.94686	9.23836	7.4007	8.29973	9.17569	8.68824	7.25574	9.99099	7.88699	7.26306	7.51198	8.99579	10.23403	8.08696	6.83006	7.66075	7.41619	8.25419	7.94547	7.02494	11.19571	9.87728	9.88683	10.81632	10.26459	9.64559	9.56505
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae"	7.95996	8.12049	8.11161	25.68583	32.07182	31.84173	33.38024	29.94981	32.19876	24.27798	8.90823	27.27166	25.83373	25.31996	25.87306	26.66819	24.04831	30.97674	24.74093	27.72362	25.40982	9.16669	29.33731	22.61088	21.42379	20.81448	19.44044	20.598	19.36152	9.30126	8.71265	8.15449	8.05543	7.87876	8.64083	7.64333
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified"	7.37839	7.02063	7.15123	7.56956	6.34398	6.32826	5.52674	7.49798	6.06153	5.70492	7.11019	5.23542	5.80575	7.19559	5.50185	4.82745	6.11168	6.3056	4.92827	5.0423	5.80677	7.70072	5.87735	5.35075	5.19893	4.79803	5.42773	5.38936	4.39926	8.24706	8.4415	8.34384	8.20387	9.2864	8.57883	7.2032
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	3.08508	2.65765	2.57744	1.78301	1.92536	1.65139	1.62583	1.49864	1.76021	1.5048	3.01313	1.5802	1.59406	1.53595	1.46641	1.31052	1.5612	1.23431	1.75918	1.38554	1.42421	3.1089	1.43041	1.24541	1.50261	1.52757	1.53454	1.44958	1.48944	2.95769	2.77718	2.7181	2.8389	2.62916	2.7222	2.6152
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae"	2.17738	2.13703	2.18802	2.55108	2.01756	2.1393	2.01306	2.43528	2.0749	2.159	2.13195	2.29803	2.11552	2.13913	2.40924	2.32165	4.64181	4.11752	4.12761	3.68942	4.70494	2.07626	4.19336	3.77924	4.38859	4.06419	4.30552	4.22263	3.937	2.31183	2.03724	1.72926	2.0417	1.96993	2.01445	2.18958
