"ENRIQ_10_S11_L001"	"ENRIQ_11_S12_L001"	"ENRIQ_12_S13_L001"	"ENRIQ_13_S14_L001"	"ENRIQ_14_S15_L001"	"ENRIQ_15_S16_L001"	"ENRIQ_16_S17_L001"	"ENRIQ_17_S18_L001"	"ENRIQ_18_S19_L001"	"ENRIQ_19_S20_L001"	"ENRIQ_1_S2_L001"	"ENRIQ_20_S21_L001"	"ENRIQ_21_S22_L001"	"ENRIQ_22_S23_L001"	"ENRIQ_23_S24_L001"	"ENRIQ_24_S25_L001"	"ENRIQ_25_S26_L001"	"ENRIQ_26_S27_L001"	"ENRIQ_27_S28_L001"	"ENRIQ_28_S29_L001"	"ENRIQ_29_S30_L001"	"ENRIQ_2_S3_L001"	"ENRIQ_30_S31_L001"	"ENRIQ_31_S32_L001"	"ENRIQ_32_S33_L001"	"ENRIQ_33_S34_L001"	"ENRIQ_34_S35_L001"	"ENRIQ_35_S36_L001"	"ENRIQ_36_S37_L001"	"ENRIQ_3_S4_L001"	"ENRIQ_4_S5_L001"	"ENRIQ_5_S6_L001"	"ENRIQ_6_S7_L001"	"ENRIQ_7_S8_L001"	"ENRIQ_8_S9_L001"	"ENRIQ_9_S10_L001"
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	2.14145	2.30191	2.34183	2.5264	3.23966	2.95517	3.94842	3.32618	3.35379	2.83773	2.46288	3.31496	3.26581	3.17481	3.05418	3.30428	2.15111	2.67847	2.57156	3.19865	2.25247	2.52943	2.93576	2.44126	2.5552	2.47792	2.65716	2.09055	2.14933	2.24459	2.52182	2.24452	2.31139	2.26017	2.31409	2.24363
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	1.86467	1.56679	1.64913	1.37136	1.19348	1.19682	1.21917	0.97111	1.07397	12.76331	1.42773	8.98578	12.96799	9.16442	12.20837	14.29497	0.92739	1.09983	1.34127	0.62053	1.05474	1.40885	1.03214	12.64382	9.50321	13.22727	9.03629	11.06375	13.05034	1.74551	1.30474	1.45903	1.51332	1.28657	1.3762	1.34517
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae"	1.65269	1.72033	1.85908	5.23843	5.43161	4.74888	5.75363	5.33248	5.74858	5.28473	1.71003	4.99681	4.76893	5.22512	5.25068	4.9641	4.13856	5.08004	4.90028	5.47976	4.12919	1.74818	4.99018	4.10854	4.28798	4.02141	4.91316	4.13381	4.52612	1.26136	1.65432	1.57605	1.71563	1.41266	1.71912	1.76936
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae"	1.65197	1.19629	1.29298	0.7741	0.53784	0.63964	0.67168	0.49529	0.67206	0.64584	1.26234	0.71407	0.53371	0.61665	0.50251	0.43429	0.81427	0.13365	0.70197	0.59735	0.63543	1.01762	0.67244	0.67112	0.76253	0.64427	0.73206	0.72281	0.73541	0.99144	1.04279	1.10038	1.2844	0.82817	0.93463	1.53882
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	1.6012	1.75818	1.80881	0.5049	0.38154	0.37565	0.35679	0.42079	0.48182	0.63779	1.65822	0.45547	0.31499	0.65808	0.62454	0.48228	0.77279	0.52682	0.70113	0.77032	0.80546	1.79305	0.75485	0.93555	0.93747	0.87073	0.80259	0.9784	0.89268	1.72728	1.84094	1.98146	1.84195	1.74589	1.78474	1.96926
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified"	1.58397	1.43262	1.72464	0.43107	0	0.20382	0.31559	0.10506	0.55772	0.40484	1.50984	0.50532	0.20955	0.27334	0.27772	0.23997	1.07224	0.15494	1.33242	1.08374	1.02661	0.9458	0.80402	0.88775	1.30239	1.04231	1.63693	1.28948	1.64256	1.12007	1.37895	1.38852	1.25117	1.20686	0.96439	2.01149
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae"	1.36562	1.27848	1.34902	1.16106	1.01303	1.08178	0.96143	1.08723	1.18987	0.94341	1.09968	1.0642	0.76961	1.06407	0.99804	1.0088	0.90504	0.638	0.8223	0.88236	0.94758	1.10433	0.88281	0.83945	0.85084	0.94019	0.83095	0.86868	0.8226	1.23693	1.31614	1.21655	1.17483	1.07449	1.29135	1.16937
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	1.05965	0.88325	0.98335	1.64433	0.88005	1.16455	1.13216	1.47037	1.1121	0.95588	1.11741	0.95987	0.99622	0.82281	1.12704	0.97567	1.26725	0.54805	0.75431	0.77884	0.97592	0.99665	0.90642	0.71186	0.81106	0.73447	0.81171	0.86443	0.81476	1.01249	0.78519	0.90718	0.98198	0.95569	0.92817	1.08414
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.6549	0.67518	0.55517	0.37216	0.31042	0.29963	0.37081	0.30452	0.39297	0.34155	0.67785	0.30675	0.25577	0.28581	0.24458	0.31091	0.27815	0.01609	0.27734	0.34604	0.33614	0.55025	0.33803	0.19241	0.32038	0.23618	0.31823	0.2752	0.26594	0.75351	0.61068	0.63687	0.71148	0.72141	0.64041	0.62656
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified"	0.53692	0.44066	0.64058	0.26953	0.13941	0.26157	0.26969	0.23209	0.25758	0.20767	0.5826	0.24381	0.20667	0.11519	0.17618	0.24952	0.27647	0	0.26797	0.1799	0.1682	0.41094	0.19681	0.05839	0.23151	0.20905	0.22921	0.15887	0.21841	0.41416	0.36276	0.35586	0.40917	0.47156	0.33565	0.7166
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae"	0.46704	0.41945	0.46017	0.37879	0.40563	0.38285	0.34291	0.2893	0.56456	0.52418	0.5866	0.40912	0.32586	0.3122	0.30239	0.35394	0.48541	0.25268	0.58895	0.48395	0.52447	0.40951	0.50492	0.4968	0.44234	0.43177	0.49364	0.41315	0.58562	0.61554	0.36625	0.50781	0.57289	0.48297	0.28386	0.46998
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.44328	0.39264	0.34667	0.21271	0.17539	0.23279	0.15933	0.20897	0.18182	0.16762	0.32405	0.30944	0.18855	0.14988	0.13754	0.10221	0.21065	0	0.23125	0.23753	0.13804	0.30801	0.17949	0.0562	0.28388	0.17298	0.20384	0.15298	0.17264	0.40298	0.35461	0.35558	0.53794	0.32126	0.31775	0.37749
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae"	0.32279	0.21794	0.33086	0.18796	0.086	0.13239	0.14781	0.11285	0.19186	0.23532	0.31387	0.12982	0.10951	0.18342	0.14467	0.20286	0.11743	0	0.10049	0.12316	0.01033	0.28893	0.0076	0	0.05498	0.1417	0.18086	0.11487	0.18185	0.24762	0.28189	0.21471	0.13859	0.22254	0.19046	0.41783
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae"	0.31624	0.24349	0.27016	0.31829	0.13401	0.22641	0.20323	0.18598	0.3032	0.21748	0.214	0.31508	0.19364	0.25357	0.13699	0.11958	0.31944	0	0.33613	0.22611	0.20556	0.14683	0.14194	0.10259	0.24542	0.25236	0.27193	0.18193	0.27195	0.14797	0.10528	0.10795	0.26869	0.06542	0.20221	0.26351
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.25572	0.23259	0.21714	0.39081	0.21606	0.20927	0.26432	0.25711	0.23579	0.2274	0.21909	0.20177	0.20763	0.24903	0.24294	0.21377	0.29965	0.25334	0.29297	0.28143	0.26638	0.15128	0.3116	0.25468	0.30278	0.30534	0.32019	0.30961	0.28807	0.16766	0.26016	0.20649	0.24421	0.21867	0.25618	0.24915
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae"	0.21638	0.13631	0.14248	0.19891	0.27441	0.20888	0.16254	0.21477	0.22619	0.18778	0.14564	0.24033	0.22126	0.24553	0.16356	0.12813	0.26039	0.08589	0.30783	0.2224	0.30454	0.08315	0.22816	0.23115	0.25628	0.17336	0.26713	0.28031	0.23525	0.14251	0.10147	0.06148	0.15323	0.12686	0.05303	0.15187
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae"	0.14092	0.11731	0.11863	0.09612	0	0.07967	0.034	0.05676	0.03305	0.08235	0.17284	0.10058	0.02917	0.0335	0.03719	0.04251	0.03651	0	0.1012	0	0	0	0	0	0.0023	0.02049	0.0262	0.01573	0.10254	0.07268	0.04459	0.12403	0.1467	0.03245	0.14919	0.27179
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae"	0.12852	0.04648	0.07778	0.03263	0	0.07076	0.01018	0	0.01774	0.00613	0.043	0.02966	0	0	0	0.00761	0	0	0.00987	0	0	0	0	0	0	0	0.00391	0	0.01104	0.01167	0	0	0	0	0	0.12079
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.10417	0.12826	0.10826	0.3254	0.39648	0.61299	0.45505	0.66592	0.54161	0.39966	0	0.19804	0.25452	0.31313	0.22688	0.16218	0.06616	0	0.10536	0.19973	0.47822	0	0.07337	0	0.01811	0	0.02632	0.02057	0.08351	0	0.13156	0.0578	0.03082	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae"	0.09145	0.08319	0.09834	0.10019	0.03648	0.09867	0.08023	0.09786	0.12502	0.07323	0.08089	0.15822	0.10247	0.1133	0.09013	0.0974	0.08564	0	0.09056	0.05701	0.04702	0.05027	0.03242	0	0.07243	0.07274	0.08537	0.05653	0.09183	0.08281	0.09495	0.04009	0.10909	0.06405	0.06864	0.10131
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae"	0.08826	0.07285	0.1477	0.16025	0	0.10377	0.07571	0.06062	0.1389	0.09469	0.05593	0.16545	0.05685	0.08791	0.04123	0.05103	0.24052	0	0.22095	0.11319	0.13757	0	0.12524	0.09454	0.23723	0.22378	0.28312	0.15039	0.23298	0.07404	0.01102	0.03423	0.08201	0	0.05291	0.10327
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae"	0.08361	0.02773	0.08719	0.28566	0.03328	0.15842	0.11936	0.0257	0.20687	0.20166	0.07919	0.28379	0.19151	0.2288	0.14456	0.1857	3.86154	4.51326	4.51833	8.33985	3.81415	0	3.04453	2.3464	2.56283	2.11148	2.5169	2.46998	2.37149	0.02446	0	0	0.06127	0	0	0.0887
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae"	0.04561	0.02076	0.04565	0.53496	0.56549	0.56376	0.29708	0.39844	0.3593	0.51315	0.02245	0.4674	0.51074	0.57569	0.4274	0.53984	0.63469	0.34181	0.54736	0.24921	0.65803	0	0.36083	0.45748	0.44932	0.60698	0.61605	0.67057	0.63353	0	0	0	0	0	0	0.03711
"k__Bacteria|p__Firmicutes|c__CFGB1340|o__OFGB1340|f__FGB1340"	0.03499	0.03867	0.04294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01805	0.03367	0	0	0.06265
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0.0287	0.01811	0.05479	0.09363	0	0.05615	0.0174	0.01628	0.20279	0.05847	0	0.22646	0.08094	0	0.01736	0.03007	0.05544	0	0.08495	0.04748	0.02958	0	0.04768	0.00915	0.11485	0.03709	0.12579	0.01739	0.09061	0	0.01966	0	0	0	0	0.06907
"k__Bacteria|p__Firmicutes|c__CFGB42691|o__OFGB42691|f__FGB42691"	0.02661	0.0018	0.05128	0.0114	0	0	0	0	0.02242	0	0	0	0	0	0	0.00153	0	0	0	0	0	0	0	0	0	0	0	0	0.00637	0	0	0	0	0	0	0.02664
"k__Bacteria|p__Firmicutes|c__CFGB1217|o__OFGB1217|f__FGB1217"	0.02503	0	0.01454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00632	0	0	0	0	0	0	0.01946
"k__Archaea|p__Euryarchaeota|c__CFGB343|o__OFGB343|f__FGB343"	0.01986	0	0.04116	0	0	0	0.0129	0	0.02924	0	0	0.02953	0	0	0	0	0.01058	0	0.00545	0.05626	0.01666	0	0	0	0.04855	0.03301	0.06237	0.04485	0.03271	0.01275	0.01314	0	0.01681	0	0	0.0489
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified"	0.007	0	0.00093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01475
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia"	11.86609	12.66399	12.62496	8.57033	7.74923	7.80581	7.72826	8.08114	8.16175	6.98175	12.9501	7.76964	7.04703	7.52888	7.58688	7.26706	6.29945	7.58685	6.8491	6.67392	6.90356	13.02284	6.86805	6.54775	6.97748	6.68818	6.48235	6.45152	6.39132	11.9736	12.62599	12.78216	12.00097	12.97908	12.93505	12.22212
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	10.74642	10.53832	9.66199	11.37759	9.29627	8.69977	8.9809	10.12435	7.68701	7.94686	9.21797	7.4007	8.29973	9.17569	8.68824	7.25574	9.99099	7.88699	7.26306	7.51198	8.99579	10.23403	8.08696	6.83006	7.66075	7.41619	8.25419	7.94547	7.02494	11.19571	9.85239	9.87718	10.81632	10.26459	9.64559	9.4693
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium"	7.95996	8.12049	8.11161	25.68583	32.07182	31.84173	33.38024	29.94981	32.19876	24.27798	8.90823	27.27166	25.83373	25.31996	25.87306	26.66819	24.04831	30.97674	24.74093	27.72362	25.40982	9.16669	29.33731	22.61088	21.42379	20.81448	19.44044	20.598	19.36152	9.30126	8.71265	8.15449	8.05543	7.87876	8.64083	7.64333
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Phocaeicola"	7.2657	6.90974	7.02562	7.47741	6.34398	6.26032	5.43651	7.39454	5.95544	5.62825	7.02507	5.11516	5.73947	7.17484	5.45966	4.75967	6.0119	6.3056	4.83251	4.94147	5.73102	7.68725	5.85851	5.24549	5.11281	4.69943	5.31043	5.27731	4.2847	8.239	8.37513	8.32433	8.10217	9.25076	8.5444	7.05239
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus"	7.23562	8.17041	8.30851	3.88991	3.64276	3.13472	3.69824	4.09164	4.0993	3.67577	8.39824	3.98742	3.87067	3.50329	3.59157	3.86291	5.61912	6.96702	6.02853	5.59561	5.74792	8.52475	5.99796	6.15626	5.19	5.5542	5.80457	5.81031	5.63243	7.90107	8.70694	8.4299	7.90705	8.85657	9.03176	8.05206
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium"	6.70581	6.94724	6.85982	3.01326	2.57248	2.67065	3.03715	2.77211	2.91963	2.96291	6.65761	3.21797	2.98912	3.16697	2.92611	2.88111	3.60112	3.08443	3.16471	3.01713	3.2494	7.39553	3.2893	3.37233	3.48128	3.39456	3.3259	3.32308	3.34651	7.14749	6.34631	7.79979	6.71082	6.84027	6.40267	6.87364
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified"	5.92636	6.21353	5.74594	3.08818	3.45969	3.40404	3.60851	3.24226	2.96784	3.37882	6.33871	3.013	2.82711	3.55953	3.23047	3.04605	3.95289	3.94554	3.64766	3.11127	4.32422	6.24951	3.58084	3.71344	3.77439	3.45274	3.71029	3.91729	3.84443	5.66667	5.93567	5.99776	5.8813	6.40699	5.92396	5.7788
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus"	3.33063	3.4316	3.39311	1.2038	0.97186	0.80783	1.32932	1.11156	1.18813	1.23974	3.24589	1.27372	1.14976	1.22856	1.13892	0.98755	2.68533	1.95694	2.25292	2.41248	2.78635	3.39304	2.73317	2.66966	2.92183	2.58224	3.08046	2.90341	2.47313	2.93095	3.60542	3.73679	3.38131	3.42679	3.43841	3.47407
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia"	3.32264	3.46736	3.03093	2.36494	2.53683	2.26891	2.50718	2.29535	2.24714	2.8031	3.16369	2.48927	2.52281	2.85348	2.85551	2.18515	0.58889	0.34294	0.70745	0.40347	0.62005	3.57083	0.37766	1.06866	0.76268	0.62084	0.73986	0.82072	0.9827	3.53418	3.45303	3.52778	3.58418	3.45021	3.57817	3.21654
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister"	2.37681	2.23003	2.09452	1.63388	1.72351	1.44179	1.6106	1.45481	1.5416	1.42494	2.49419	1.43285	1.47183	1.41313	1.30361	1.25917	1.40725	1.23431	1.56359	1.27595	1.37193	2.41712	1.39163	1.2141	1.36262	1.43658	1.40772	1.37984	1.36299	2.31763	2.0669	1.98022	2.33232	2.09587	2.37511	2.0151
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerobutyricum"	2.24251	2.17141	2.02957	1.55836	1.54988	1.68669	1.74124	1.60599	1.67542	1.37201	2.27256	1.49139	1.36881	1.44209	1.47903	1.37098	1.0757	1.06234	0.98623	0.96452	1.05369	1.89991	0.99906	0.98857	1.18726	1.0157	1.17443	1.05389	0.96342	2.45486	2.41148	2.01236	2.3126	2.33288	2.29583	1.96457
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes"	2.17738	2.13703	2.18802	2.55108	2.01756	2.1393	2.01306	2.43528	2.0749	2.159	2.13195	2.29803	2.11552	2.13913	2.40924	2.32165	4.64181	4.11752	4.12761	3.68942	4.70494	2.07626	4.19336	3.77924	4.38859	4.06419	4.30552	4.22263	3.937	2.31183	2.03724	1.72926	2.0417	1.96993	2.01445	2.18958
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified"	2.16655	2.2502	2.15727	0.21096	0	0.13622	0.09198	0.10051	0.1707	0.07319	1.655	0.21285	0.08188	0.03625	0.0802	0.08945	0.53216	0.01966	0.59649	0.38054	0.34123	1.56213	0.24299	0.18584	0.42325	0.42246	0.54995	0.40973	0.54812	1.5998	2.17875	2.06458	2.01839	2.12382	2.19644	2.16998
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella"	2.14145	2.30191	2.34183	2.5264	3.23966	2.95517	3.94842	3.32618	3.35379	2.83773	2.46288	3.31417	3.26581	3.17481	3.05418	3.30428	2.15111	2.67847	2.56892	3.19865	2.25247	2.52943	2.93576	2.44126	2.54918	2.47792	2.65068	2.09055	2.13984	2.24459	2.52182	2.24452	2.31139	2.26017	2.31409	2.24363
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea"	2.04122	2.15573	2.08147	1.42539	1.40918	1.20773	1.3379	1.32751	1.43328	1.42635	2.19735	1.35533	1.18157	1.1983	1.10625	1.19339	1.5184	1.11335	1.48009	1.29728	1.24919	1.92346	1.21097	1.44125	1.53503	1.53726	1.62251	1.69266	1.54234	1.82373	1.99972	1.93479	2.40887	1.96248	2.22751	2.01458
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus"	1.86467	1.56679	1.64913	1.37136	1.19348	1.19682	1.21917	0.97111	1.07397	12.76331	1.42773	8.98578	12.96799	9.16442	12.20837	14.29497	0.92739	1.09983	1.34127	0.62053	1.05474	1.40885	1.03214	12.64382	9.50321	13.22727	9.03629	11.06375	13.05034	1.74551	1.30474	1.45903	1.51332	1.28657	1.3762	1.34517
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibiobacter"	1.79334	1.87679	1.88193	0.98282	0.91786	1.05222	1.00077	1.1898	1.0132	1.04824	2.01197	1.03559	0.97494	0.82165	0.77204	0.98905	1.69515	1.80791	1.86391	1.49992	1.77309	2.15276	1.5717	2.01302	1.57543	1.57818	1.62011	1.77964	1.6644	2.11621	1.7727	1.96911	1.96983	1.85287	2.07738	1.69309
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	1.44724	1.60149	1.62477	0.5049	0.38154	0.37565	0.35679	0.42079	0.48182	0.63779	1.49087	0.45547	0.31499	0.65808	0.62454	0.48228	0.77047	0.52682	0.70113	0.77032	0.80546	1.78892	0.75485	0.93555	0.93747	0.87073	0.80259	0.9784	0.8896	1.71701	1.6744	1.80592	1.68237	1.60727	1.59973	1.75324
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia"	1.36562	1.27848	1.34902	1.16106	1.01303	1.08178	0.96143	1.08723	1.18987	0.94341	1.09968	1.0642	0.76961	1.06407	0.99804	1.0088	0.90504	0.638	0.8223	0.88236	0.94758	1.10433	0.88281	0.83945	0.85084	0.94019	0.83095	0.86868	0.8226	1.23693	1.31614	1.21655	1.17483	1.07449	1.29135	1.16937
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium"	1.35312	0.97774	1.00528	0.59881	0.45868	0.47563	0.46437	0.36728	0.51696	0.449	0.96636	0.55106	0.38058	0.48869	0.35907	0.26005	0.56617	0.13365	0.43306	0.38299	0.43985	0.79512	0.46191	0.37846	0.51733	0.36078	0.45375	0.46186	0.43959	0.82199	0.87357	0.89156	1.1166	0.68342	0.76342	1.16547
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium"	1.17599	1.29666	1.23767	4.8361	5.14458	4.40309	5.40527	4.99333	5.30277	5.03087	1.20893	4.64535	4.49535	4.91654	4.91367	4.62872	3.69654	4.81581	4.44627	4.94781	3.73098	1.36963	4.52334	3.81854	3.90235	3.73078	4.45614	3.81132	4.14211	0.9093	1.25612	1.26507	1.29938	1.15484	1.23775	1.14457
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified"	1.08751	1.04938	1.18664	0.28075	0	0.11619	0.28654	0.05191	0.42238	0.30205	0.98871	0.38585	0.16057	0.27334	0.20233	0.1452	0.68576	0	0.77382	0.73792	0.73784	0.68846	0.53296	0.60043	0.95574	0.75284	1.12925	0.8844	1.08685	0.87697	0.95301	0.95696	0.90203	0.81729	0.64039	1.37079
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	1.05965	0.88325	0.98335	1.64433	0.88005	1.16455	1.13216	1.47037	1.1121	0.95588	1.11741	0.95987	0.99622	0.82281	1.12704	0.97567	1.26725	0.54805	0.75431	0.77884	0.97592	0.99665	0.90642	0.71186	0.81106	0.73447	0.81171	0.86443	0.81476	1.01249	0.78519	0.90718	0.98198	0.95569	0.92817	1.08414
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter"	1.02165	1.03605	0.98424	0.52366	0.35557	0.41413	0.41424	0.42958	0.36615	0.41187	1.21466	0.36489	0.42505	0.43677	0.47398	0.40998	0.29756	0.10708	0.3114	0.21608	0.24954	0.95524	0.195	0.28803	0.29225	0.29257	0.23603	0.26798	0.32583	0.97999	1.03203	1.15411	0.98217	1.15464	1.03412	1.00645
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter"	0.98241	0.73929	1.01796	0.42292	0.42428	0.47055	0.61577	0.41995	0.47561	0.54235	0.86389	0.65042	0.60454	0.54561	0.54814	0.48041	0.67935	0.03045	0.69325	0.63162	0.65717	0.86473	0.72683	0.51225	0.65569	0.61969	0.78993	0.60227	0.72672	0.68158	1.0654	0.83166	0.64997	0.94105	0.92066	1.0442
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger"	0.90657	0.87596	0.94717	0.44125	0.19663	0.41493	0.36073	0.38564	0.42326	0.44503	0.8857	0.52075	0.4181	0.3266	0.31417	0.39691	0.56403	0.08596	0.64277	0.52131	0.51024	0.70805	0.43109	0.45123	0.6402	0.50455	0.5741	0.49704	0.49726	0.77236	0.75151	0.69403	0.81768	0.62296	0.83432	0.94949
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.70827	0.42762	0.48292	0.14913	0.20185	0.2096	0.01522	0.04383	0.21861	0.07985	0.51894	0.14734	0.12224	0.12281	0.1628	0.05135	0.15395	0	0.19559	0.10959	0.05228	0.69178	0.03879	0.03131	0.13999	0.09099	0.12681	0.06974	0.12644	0.64006	0.71028	0.73789	0.50657	0.53329	0.34708	0.6001
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.6549	0.67518	0.55517	0.37216	0.31042	0.29963	0.37081	0.30452	0.39297	0.34155	0.67785	0.30675	0.25577	0.28581	0.24458	0.31091	0.27815	0.01609	0.27734	0.34604	0.33614	0.55025	0.33803	0.19241	0.32038	0.23618	0.31823	0.2752	0.26594	0.75351	0.61068	0.63687	0.71148	0.72141	0.64041	0.62656
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes"	0.59164	0.6078	0.49481	0.30698	0.27897	0.2612	0.20786	0.22942	0.25999	0.21467	0.5831	0.24142	0.28377	0.1555	0.25206	0.20906	0.25678	0	0.28298	0.22869	0.22028	0.48364	0.2556	0.29251	0.25613	0.31277	0.28169	0.2571	0.24524	0.59915	0.60399	0.51286	0.49187	0.57234	0.5341	0.61531
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia"	0.46704	0.41945	0.46017	0.37879	0.40563	0.38285	0.34291	0.2893	0.56456	0.52418	0.5866	0.40912	0.32586	0.3122	0.30239	0.35394	0.48541	0.25268	0.58895	0.48395	0.52447	0.40951	0.50492	0.4968	0.44234	0.43177	0.49364	0.41315	0.58002	0.61554	0.36625	0.50781	0.57289	0.48297	0.28386	0.46998
